pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
BRD-K06186994,BRD-K06186994,A375,-0.2342,-0.941,0.0687,0.224271,,
BRD-K32927008,BRD-K32927008,MCF7,-0.2342,-0.9411,0.0687,0.225212,,
tanespimycin,BRD-A61304759,NPC,-0.2342,-0.941,0.0687,0.70225,,
BRD-K28372487,BRD-K28372487,BJAB,-0.2342,-0.9407,0.0687,0.333001,,
timolol,BRD-K08806317,HEPG2,-0.2342,-0.9407,0.0687,0.314639,Adrenergic receptor antagonist,ADRB2|ADRB1
BRD-K57166447,BRD-K57166447,A375,-0.2342,-0.9409,0.0687,0.223858,,
BRD-K04779531,BRD-K04779531,A375,-0.2342,-0.9409,0.0687,0.365512,,
QL-XII-47,BRD-K99252563,BT20,-0.2341,-0.9405,0.0685,0.534706,,
HG-6-64-01,BRD-U51024685,HA1E,-0.2341,-0.9404,0.0685,0.556868,,
sulforaphane,BRD-A58955223,HT29,-0.2341,-0.9407,0.0687,0.246551,Carcinogen|Aryl hydrocarbon receptor antagonist,NFE2L2
balsalazide,BRD-K41410256,HEK293,-0.2341,-0.9406,0.0687,0.296275,Cyclooxygenase inhibitor,PTGS1|PTGS2|ALOX5|PPARG
PIK-93,BRD-K29395450,PC3,-0.2341,-0.9406,0.0687,0.451768,PI3K inhibitor,PI4KB|PIK3C3|PIK3CG
pyrimethamine,BRD-K88429204,VCAP,-0.2341,-0.9404,0.0684,0.251193,Dihydrofolate reductase inhibitor,DHFRP1|HEXA|STAT3|DHFR|SLC47A1
GR-159897,BRD-K52394958,HEPG2,-0.2341,-0.9406,0.0687,0.376155,Tachykinin antagonist,TACR2|TAC1
BRD-K89961851,BRD-K89961851,A375,-0.234,-0.9403,0.0683,0.51869,,
NGB-2904,BRD-K05181084,HEPG2,-0.234,-0.9403,0.0683,0.393765,Dopamine receptor antagonist,DRD3
RAF-265,BRD-K93123848,ASC,-0.234,-0.9401,0.0683,0.204657,RAF inhibitor|VEGFR inhibitor,BRAF|KDR|KIT|PDGFRB|RAF1
QL-X-138,BRD-K72636697,BT20,-0.234,-0.9402,0.0683,0.419964,,
PNU-74654,BRD-K30707190,MCF7,-0.2339,-0.9397,0.0679,0.526232,Beta catenin inhibitor,CTNNB1|TCF4
KIN001-270,BRD-K24050847,SKL,-0.2339,-0.9399,0.0681,0.260927,,
BRD-K97149069,BRD-K97149069,A375,-0.2339,-0.9398,0.0681,0.226424,,
BRD-K70415218,BRD-K70415218,VCAP,-0.2339,-0.9397,0.0679,0.244997,,
sertraline,BRD-K82036761,VCAP,-0.2339,-0.9396,0.0679,0.357679,Serotonin receptor antagonist,SLC6A4|CYP2C19|SLC6A3
BRD-K44766290,BRD-K44766290,PC3,-0.2339,-0.9395,0.0678,0.216686,,
SB-408124,BRD-K53913732,VCAP,-0.2339,-0.9395,0.0678,0.5907,Orexin receptor antagonist,HCRTR1|HCRTR2
phentolamine,BRD-K90333595,MCF10A,-0.2339,-0.9396,0.0678,0.222533,Adrenergic receptor antagonist,ADRA1A|ADRA2A|ADRA1B|ADRA1D|ADRA2B|ADRA2C
TWS-119,BRD-K94176593,HCC515,-0.2339,-0.9396,0.0678,0.290968,GSK inhibitor,GSK3B|JUN|MYC
anecortave-acetate,BRD-A53566267,YAPC,-0.2339,-0.9398,0.0681,0.297768,Corticosteroid agonist|Angiogenesis inhibitor,
