Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
ACTR3,0.243013927,0.027002001,-0.02,1,-0.263013927,ambiguous
PLS3,0.334555986,0.027222179,-0.312,1,-0.6465559860000001,ambiguous
IGSF9B,-0.513559893,0.027463307,0.191,1,0.7045598930000001,ambiguous
CMPK1,0.256648644,0.027976226,-0.169,1,-0.425648644,ambiguous
TIMM44,-0.221870336,0.028008765,-0.118,1,0.10387033600000001,ambiguous
CDK5RAP3,-0.315241027,0.028041894,-0.693,1,-0.37775897299999994,ambiguous
RPS3A,0.376067978,0.02807892,-0.0341,1,-0.41016797800000004,ambiguous
RAB39B,0.302792264,0.028254886,-0.004,1,-0.306792264,ambiguous
PRKACB,0.352170732,0.02838007,-0.13,1,-0.482170732,ambiguous
GALE,-0.297731341,0.028396637,-1.5,1,-1.202268659,ambiguous
CCT3,0.221028726,0.028475419,-0.299,1,-0.520028726,ambiguous
SLK,0.231173037,0.028669615,-0.482,1,-0.713173037,ambiguous
PPP1CC,0.273718922,0.028904763,0.0192,1,-0.254518922,ambiguous
PPP1CB,0.304185344,0.028943924,-0.725,1,-1.029185344,ambiguous
RAP2A,0.299878957,0.029002831,-0.338,1,-0.6378789570000001,ambiguous
TMED10,0.27987919,0.029285835,1.58,1,1.3001208100000001,ambiguous
TMOD2,0.282269942,0.029506279,0.236,1,-0.04626994200000001,ambiguous
DDX6,0.221675863,0.029642027,-0.0573,1,-0.278975863,ambiguous
RPL5,0.325431174,0.029642027,-0.0646,1,-0.390031174,ambiguous
STX7,0.231745948,0.029727534,-0.605,1,-0.836745948,ambiguous
COL6A1,-0.427812681,0.030482418,-0.709,1,-0.281187319,ambiguous
TWF1,0.2732213,0.030820484,-0.386,1,-0.6592213,ambiguous
G3BP1,0.185514266,0.03121122,0.298,1,0.11248573399999998,ambiguous
EPS15L1,-0.18929491,0.031335198,-0.0616,1,0.12769491,ambiguous
ABHD11,-0.333672795,0.031402468,0.802,1,1.135672795,ambiguous
CYB5R1,-0.21551554,0.031476405,-0.0906,1,0.12491554,ambiguous
SACM1L,0.24449652,0.03152429,-0.321,1,-0.56549652,ambiguous
STRN,0.308538323,0.031549622,-0.13,1,-0.438538323,ambiguous
ARMC1,0.238889407,0.03177896,-1.03,1,-1.268889407,ambiguous
CDC42BPA,0.155705455,0.031864028,0.539,1,0.38329454500000004,ambiguous
