"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EDEM3",-0.0066862391809912,1.72272055602508,-0.0881818313338238,0.930429039950875,0.971400925280805,-6.04789152563002
"CDC123",-0.00660330347541627,1.48047425360013,-0.0880498296853209,0.930532902842112,0.971400925280805,-6.0479029581392
"TUFM",-0.00469450449441688,1.77516620027783,-0.088028824913556,0.930549430147872,0.971400925280805,-6.04790477575962
"UBB",-0.00241133613735567,2.35975793085116,-0.087801071597772,0.930728636641145,0.971400925280805,-6.04792445626924
"RWDD2B",-0.00618477214082547,1.54098644044254,-0.0877896979241691,0.930737586053857,0.971400925280805,-6.04792543774987
"PPP1R2P3",0.0265758891286822,0.253505551817761,0.0877166700276352,0.930795048517119,0.971400925280805,-6.04793173659743
"NT5C3L",0.0165080667924952,0.731600981753268,0.0876892194771768,0.930816648255687,0.971400925280805,-6.04793410292474
"MTRR",-0.0135292295713674,0.912513940479159,-0.0873893012009093,0.931052645450445,0.971510717576295,-6.04795990864042
"BLVRB",-0.00897339493394811,1.24204103797667,-0.0871803709934,0.931217050512153,0.971510717576295,-6.0479778333013
"RBM23",0.0202345958244277,0.549759140164841,0.087144989331288,0.93124489229167,0.971510717576295,-6.04798086453979
"CKS2",-0.0413178842356334,0.124246828333116,-0.0870223767235256,0.931341376668195,0.971510717576295,-6.04799135956452
"PDE10A",-0.010864844270645,0.832022783196558,-0.0866425954091173,0.931640234964514,0.971576129023666,-6.04802377323183
"SLC39A7",-0.0068149172737717,1.5565747109884,-0.0864743843341869,0.93177260723981,0.971576129023666,-6.04803808447832
"ICT1",0.00517822936340284,1.73741863628827,0.086379680195311,0.931847134737531,0.971576129023666,-6.04804612959187
"TBP",-0.00937120082316456,1.29790185627664,-0.086276259112165,0.931928522765332,0.971576129023666,-6.04805490514576
"BX537605",0.00638004031649708,1.74695201113683,0.0860963749088474,0.932070085839414,0.97161436024426,-6.04807014376866
"CDS2",0.00383575575659001,1.75095783765338,0.0856590526649414,0.93241425385439,0.971863759812447,-6.04810705830163
"HTR5A",-0.016598779193141,1.09929365752958,-0.0843574553501896,0.933438676307784,0.972822058802769,-6.04821581493813
"GRINA",0.0039510059935064,1.77484876144881,0.0839313528180869,0.93377406588931,0.973062118610944,-6.04825105689717
"C3orf75",0.0205937184046243,0.400438796478758,0.0833992725498902,0.934192889107795,0.973376443563631,-6.04829481361516
"INTS7",0.0131403642712107,0.766895064672014,0.0832039653994454,0.934346628602706,0.973376443563631,-6.04831080532265
"CR610863",-0.0055976416126553,1.60008722466268,-0.0830522280553201,0.934466073142884,0.973376443563631,-6.04832320367835
"NUBP1",-0.018160056823305,0.569464915613665,-0.0829040493363489,0.934582717915945,0.973376443563631,-6.04833528943244
"LASS6",-0.00625981463307257,1.52119256366968,-0.0828806843007282,0.934601110769182,0.973376443563631,-6.04833719316296
"PDIA4",0.0127289338341192,1.02971358844999,0.0825331522541162,0.934874690832052,0.973442475402124,-6.04836544597897
"FAIM2",-0.00330148181414591,2.22693794913403,-0.0823267304449206,0.935037191627818,0.973468443890223,-6.04838217099128
"DLGAP4",-0.0134685114981539,0.752887477850574,-0.0822344798316558,0.935109814718256,0.973468443890223,-6.04838963192292
"VPS41",-0.00572723257528773,1.48044272244234,-0.0816096310983111,0.935601733765636,0.973871093366792,-6.04843994757713
"CRELD1",-0.00885222415189757,1.11462416611872,-0.0806486628996025,0.936358317379338,0.974367044094873,-6.0485165805477
"ENAH",-0.00343603064747366,2.00351598819859,-0.0806292527302427,0.936373599905742,0.974367044094873,-6.04851811907572
"MANSC1",0.00746463467486747,1.37621439532539,0.0806036438721353,0.93639376298527,0.974367044094873,-6.04852014837042
"EIF3M",-0.00487108850307383,1.65667348490865,-0.0799381039749839,0.936917789527883,0.974509200383241,-6.04857266106933
